song,artist,20241105,20241029,20241022,20241015,20241008,20241001,20240924,20240917,20240910,20240903,20240827,20240823,20240820,20240813,20240806,20240730,20240723,20240716,20240709,20240702,20240625,20240618,20240616,20240611,20240604,20240521,20240519,20240514,20240507,20240430,20240416,20240414,20240409,20240402,20240325,20240319,20240312,20240310,20240305,20240227,20240220,20240213,20240206,20240204,20240130,20240123,20240116,20240109,20240102,20231219,20231212,20231210,20231205,20231128,20231121,20231114,20231107,20231031,20231024,20231017,20231010,20231003,20230926,20230919,20230912,20230905,20230829,20230822,20230815,20230808,20230801,20230725,20230718,20230711,20230704,20230627,20230620,20230613,20230606,20230530,20230523,20230516,20230509,20230502,20230425,20230418,20230411,20230404,20230328,20230321,20230314,20230307,20230228,20230221,20230214,20230207,20230131,20230124,20230117,20230110,20230103,20221227,20221220,20221213,20221206,20221129,20221122,20221115,20221108,20221101,20221025,20221018,20221011,20221004,20220927,20220920,20220913,20220906,20220830,20220823,20220419
Moves Like Jagger,Maroon 5 (feat. Christina Aguilera),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr. Jones,Counting Crows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murder On The Dancefloor,Sophie Ellis-Bextor,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nightcall,Kavinsky,,A,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Fair,Lily Allen,,,,A,,,,,,A,,,,A,A,,,,,,,A,,,A,,,A,A,,A,G,,,,,G,G,,,,,,A,,,,A,,,A,G,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,?,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nothing Compares 2 U,Sinéad O'Connor,,,,,,,G,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,G,A,,,,,,,,,,,,,,G,,,,,,,,,,,,,A,,,,,A,A,G,,,,,,,,,,,,,,,,,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numb,Linkin Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O Canada,Calixa Lavallée,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One Way or Another,Blondie,G,A,A,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Paint it, Black",The Rolling Stones,,A,,,A,,,,,,,,A,,,,,,,,,,,,,,A,,,,,,A,,,,,,A,,A,,,,,A,,,,,,,,,A,,A,A,,,A,,,,,A,,,,A,,,A,,,,,,,,,,G,,A,,,,A,,,,,?,,,?,,,,,,,,,,,,,?,,,?,?,,,?,?,,,?
Pencil Full of Lead,Paolo Nutini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pineapple Mango,Daniel Ho,,,,,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price Tag,Jessie J (feat. B.o.B),A,,A,,,G,A,,,,,,,,,A,,,A,,,,A,,A,,,A,,,,,,A,,,A,,,G,,,G,G,,A,,,,A,,,,,,,,,,A,G,A,,,,,,,,,,A,G,,,,,,,,A,,,,,A,,A,,,,A,,,,,,,,,?,,,,,?,,,,,?,,,?,?,,,,,?,
Proud Mary,Tina Turner,A,,,,,,,,A,,,A,,,A,A,,,A,,,G,,,,A,,,A,G,A,,A,,,A,A,,,A,,,,,,,,,A,,,A,A,,,A,,,,,,A,G,,,,A,A,,A,,,,,,A,A,A,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psycho Killer,Talking Heads,,A,A,,A,,,,G,,,,,A,,,,A,,G,,,,,A,,,,,,A,G,,,,,,G,,,,,A,,,A,,,A,,A,A,A,,,,,A,G,,,A,A,A,,A,A,,A,,,,A,A,A,,,,,,,A,,,,,,,,,,,A,?,,,,,,A,,?,?,?,,,,?,,?,,?,?,,?,,?,?,,?,?
Radio Gaga,Queen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Re: Your Brains,Jonathan Coulton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?,,,,,,,,,,,
Red Wine Supernova,Chappell Roan,A,,,G,,,G,G,G,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rehab,Amy Winehouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Respect,Aretha Franklin,,,,,,,G,,,,,,,,,,,,,,,,,,G,,,,,,,G,,,G,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ripples in the Rockpool,Rita Connolly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riptide,Vance Joy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roar,Katy Perry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Baby,"Ariana Grande, Liz Gillies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?,?,?,,,,,,,,,,,,,,,,
Sarà Perché Ti Amo,Ricchi E Poveri,A,,,,,A,A,A,A,A,,,A,A,,,,,A,,,A,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Self Control,Laura Branigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Set Fire to the Rain,Adele,A,,A,A,A,,A,,A,,,,,,,,,,,,,,,,,A,,,,,,,A,,,,,,,,,,A,,,,,,,,,,A,A,,,A,,,,,A,,,A,,,,,,A,,,A,A,,,,,,,,A,,,,,,,,,A,,,,,,,,,?,,,,?,?,?,,,,,,,,,,,,,,
Shake It Off,Taylor Swift,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shake It Out,Florence + The Machine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
She Wolf,Shakira,,,G,,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?,?,,,,,,,,,,
Should I Stay or Should I Go,The Clash,,,,,,G,,,,,,A,,,,,,,,,,,,,,,,,G,,,,G,,,,,A,,,,,,,,,,,G,G,A,,,G,,,,,,,,,A,A,,,,A,A,,A,,G,,,,,G,,,,,A,,,G,,G,,,,,,?,,,,,,A,,,?,?,,,,,,,,?,,?,,?,?,?,,?,
Silent Night,Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Since U Been Gone,Kelly Clarkson,A,,,A,,A,A,,,,,,,,,A,,,,,,,,,,,G,A,,,,,,,A,,,,,,,,,,,,,,,,,,,,,A,A,,A,,,,,,A,,,A,,,,,,,,A,A,,,,,,,A,,A,,A,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sit Down,James,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
So What,P!nk,,,,,,,,A,G,G,G,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somebody that I used to know,Gotye (feat. Kimbra),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somebody to Love,Queen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somebody's Watching Me,Rockwell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song For Jedi,Dionysos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Space Oddity,David Bowie,,,,,,,A,,,,,,,,,A,,A,,,,,A,A,,G,,,,,,G,,,A,,,,,,,,,,,,A,,,G,,A,,,A,A,,,,,,,,,A,A,,,,,,,,,,,,,A,,,,,,,,,A,A,A,,,,,,,,,,,,,,,,?,,,,,?,?,,?,,?,?,?,,,
Spice Up Your Life,Spice Girls,,,,,,A,,,,,,,,,,,,,,,,,A,,,,,,,G,,,G,,,,A,,,,,,,,,,,A,A,,,A,,,,A,,,,,,,G,,A,,A,A,,,,,,A,,A,A,,,A,,G,,A,,,A,,,A,?,,A,,,A,,,?,,?,,,,,,?,,,,,?,,,?,,,?,,?,
Stay Stay Stay,Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,G,,,,,,,,,,,A,,,,,,,A,,,,,,,,,,,,,,,,,A,,,A,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,
Step Into Christmas,Elton John,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stuck in the Middle with You,Stealers Wheel,,,,,,,,,,,,A,,,A,,,,A,,,A,A,,,,,,,,,,,,A,,,,,,,,,,,A,,,,,,,,,G,,G,,,,,,,,A,A,,A,G,,,G,,G,,,,,A,,,,,,,,,,,A,,,,?,,A,,,,,,,,,,?,,,,,?,,,?,?,,,?,,,
"Sugar, We're Goin Down",Fall Out Boy,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summer of '69,Bryan Adams,,,A,,,A,A,,,,,,,A,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,A,,,A,,,,,,,,,,,,,,,,,,,A,,,,A,,A,,,A,,,,,,,,,A,,A,,A,,A,,?,,,,A,,,,,,,?,,,,?,,,?,,?,,,,,,,,,,?
Sweet Dreams (Are Made of This),Eurythmics,,,,,,,,,,,,,A,,,,,,,,A,A,,A,,,,,,,,,,,,,,G,G,,,,,A,A,,,A,,,,,,,,,,A,,A,,,A,,,,,A,,,,,,,,,,A,,,A,,,,,,,,,A,,A,,,,,,,,,,,,,,,,,,?,,,,,,,,,,,
Sympathy for the Devil,The Rolling Stones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,A,A,A,,,,,,,,,,,,,,,,,,,,,,,A,,,,A,,,A,,,,,,,,,?,,,,?,?,,,,,,?,?,,,,
Take A Chance On Me,ABBA,,,,,,,,,,,,,A,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,A,,,,,A,,,,,G,,,,,A,,A,,A,,,,A,A,,A,,,A,A,,,,,,A,,A,,,A,,,,?,A,,,A,A,,,?,A,,,,,,,?,,?,,,?,?,,,,,?,,?,
Take on Me,a-ha,,,,,,,A,,,,,,,,,,,A,A,,A,,,,,,,,,A,,,,,,,,,,,,,,,,,,,A,,,,,,A,A,,,,,,,,,A,,,,,,,,,,,A,,A,A,A,,,,A,,,,A,,A,,,A,,,,,?,,,,?,,,,,?,,?,,,,,,,,,?,,?,?
Talkin' Bout a Revolution,Tracy Chapman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tequila,The Champs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thank God It's Christmas,Queen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
That's Not My Name (Radio Edit),The Ting Tings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Best (Edit),Tina Turner,,,,,,,A,,,,,A,,,,,G,,,A,,,,,,,,G,,A,,G,,,A,,A,,,,,,,,,,,,,,,,A,,,,,,,,A,,,,,,G,,,,,,,,,,,,,G,,,,,,,A,A,,,,G,A,,A,,,,?,,,,,,,,?,?,,,,?,,,,,?,,?,?,
The Final Countdown,Europe,A,,,,,,,A,,A,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,A,,,,,A,,,,,,,,,,,,,,,,,,,,,A,,,,,A,,,,,,,,,A,,,,,,,,,?,?,?,,,,,,,?,,?,?,,,?,?
The Ketchup Song (Aserejé),Las Ketchup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Lion Sleeps Tonight,The Tokens,,,A,,,,,,A,,,,,,G,,,,,A,,,,,,G,,,,,,,A,,,,,,,A,G,,A,G,,,,,,,,,A,A,,G,,,A,A,,,,G,,,G,,,,,,,,G,,,,G,G,,,,,,,,,,G,,,,,,,,?,,,,,,,,,,,,,,,,,,,?,,,?,?
The Season's Upon Us,Dropkick Murphys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thriller,Michael Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?,,,,,,,,,,,
Thunderstruck,AC/DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time Warp,The Rocky Horror Picture Show,,A,A,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,G,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?,?,,,,,,,,,,
To The Moon,Ukulele Tuesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torn,Natalie Imbruglia,,,,,A,,,,,,,A,,,A,,,,A,,,,,,,A,A,,,,,,,,,,A,,,A,A,,,,,,,,,A,,,A,A,A,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,?,,,,,,,,,?,,,,,?,,,,?,,,,,
Toxic,Britney Spears,A,A,A,,,,,A,,,,,A,,A,,,,,,,,,,,,,,,,,,,,A,,,,A,A,,A,,,,,,,,,,,,A,,,,A,,A,,,A,,,G,A,,A,,A,,,,A,A,A,A,G,,A,A,A,,G,A,,A,,A,,,A,?,A,,,,?,,?,?,?,,,?,?,,,?,,?,?,?,?,?,?,,?,?,?
Tragedy,Bee Gees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,,,,A,A,,,,,,,,A,,,,,,,A,?,,,?,?,?,A,,,,,,,,?,,,,,?,,,,?,,?,?,?
Tribute,Tenacious D,,A,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?,?,,,,,,,,,,
True Colors,Cindy Lauper,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True Trans Soul Rebel,Against Me!,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truly Madly Deeply,Savage Garden,,,,,,,G,,,,,,,,,,,,,,,,A,,,,,,,,G,,,,,,,,,,,G,,,,,,,,,,,,,,,,,A,,,,,A,,G,,,,,G,,,,,,G,,,,,,,,,A,,,,,,,,,A,A,,,,,,,,,,,,,,,,,,,,,?,,,,
Twist in My Sobriety,Tanita Tikaram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Up in Arms,Aslan (feat. Sinéad O'Connor),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valerie,Amy Winehouse,,,,,,A,A,,A,,G,A,A,A,A,A,,,,,A,A,,A,A,,,,,A,,,,A,,A,A,,A,,,A,A,A,,A,A,,,A,,A,A,,,A,A,,,,,,A,,,,A,A,A,,A,A,,,,,A,,A,,,,A,,,A,,,A,A,,A,,?,A,,,?,,,,,?,,,,,?,?,,,,,?,?,?,,?,?,?,?
vampire,Olivia Rodrigo,A,A,A,A,A,,A,,A,A,A,,,A,,,A,A,,,,A,,A,A,A,,A,A,,A,G,A,,A,A,A,,A,A,A,,A,G,,G,A,A,,A,A,A,A,A,G,A,G,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voyage voyage,Desireless,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wake Up,Arcade Fire,,,,G,,,A,A,A,,,,A,,,,,,A,A,,A,,A,,,,,,A,A,G,G,,,,,,A,,,,,,A,,,A,,,,,,A,,G,A.,,,A,,G,,,,,,,,,,,,,,,,,A,A,A,,,A,A,,,,,,,,,,,A,,,,A,,,?,,,?,,?,,,,,,,?,,?,,?,,
Walk Of Life,Dire Straits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walking On Sunshine,Katrina & The Waves,,,,,,,A,,,,,,,,,,,,A,,,,,G,,,A,,,A,,,,G,,,,,,G,,,,,,,A,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterloo,ABBA,A,,,,,A,,,,A,,A,A,,,,,,G,,,A,,,,,,A,,A,,,,,,,A,,A,,,,,,,,,,,,,,,,A,A,,,,,A,A,,A,,,A,A,A,,,,,,,,,,A,,A,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
We Are Family,Sister Sledge,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
We Are Young,fun. (feat. Janelle Monáe),,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What's Up?,4 Non Blondes,,,,,,A,A,,,G,A,A,,A,,,,A,A,,,,,A,A,,,,,,,,A,,,,,,G,A,G,,,,A,G,,,,,,,,,,A,A,,,A,,A,G,,,G,,,,,,,,A,,,G,,,G,,G,,G,,A,,A,A,,,A,A,,,,,?,?,A,,,,?,,,,?,,,?,,?,?,,?,,?,,?,
When You're Gone,"Bryan Adams, Melanie C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Where the Streets Have No Name,U2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?,A,,,,,,,,,,,,,,?,,,,?,,,?
Where's Me Jumper?,Sultans Of Ping F.C.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,?,,,,,,,,,,,,,,,,,,,,,,,,
Whiskey in the Jar,Thin Lizzy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White Flag,Dido,,,,,,,,,,A,,,G,,,,,,,,,,,,,,,,,,G,,,,,,A,,A,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,A,,,,,,,,,,,,,,,,,A,,,,,,,A,,?,,,,,,,,,?,,,,,,,,?,?,,,?,,
Whole Again,Atomic Kitten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Why Don't You Get A Job,The Offspring,,,,,,,,A,,,,,,,,,,,,,,,A,,,G,,,,,,A,G,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,A,,G,,,G,,,,,,,,,,,,,,,,,,,,A,,?,,,,,G,?,,,,,,?,?,,?,?,,,,,,?,?,?,,,,?,?,
Wind of Change,Scorpions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
With Or Without You,U2,,,,,,,,,,,A,,A,,G,,,A,,,,,,,,,,G,,,,,,A,,G,,,,,,A,,G,,,,,,,,,,,,,,,A,,G,,G,A,,G,,,,A,,,,,,,,A,,,,A,,,,A,,,,A,?,,,,,,?,,,A,,,,,,,,,,,,,,,,,,?,,,
